questionário	questionnaire
neonatal	center
fumou	smoke
fumava	smoke
cigsemano	cigsemana
cigder	cigdia
trimestr	do
amamentar	breastfeed
cruzada	crossed
infâncer	childhood
atingiu	reach
gestage	gestage
bebeu	drink
fat	fat
bebia	drank
dosessemano	dosesweek
tome	make
destilados	distiny
fortes	strong
whiskyvodkabatidas	whiskeyvodk
pressão	pressure
eclâmpsia	eclampsia
diabetes	diabetes
urinário	urinary
carregar	carry
vivenciou	experience
ões	biomother
utilizadas	use
mostradas	show
mamar	breastfeed
mêses	month
exclusivamente	exclusively
amamentação	breastfeed
exclusiva	exclusive
mamava	breastfeed
papinhas	papinhas
introduzido	introduce
desconsiderando	disregard
esporádico	sporal
faltar	miss
notas	low
expulsoa	expel
encefalite	encephalitis
meningite	meningitis
hospitalizar	have
psicoterapio	psychotherapeutic
sujas	dirty
vidacontinue	have
vidadesc	vidades
sorrio	smile
meiga	sweet
elogiar	praise
dáva	give
liberdade	freedom
tratava	the
superprotetora	overprotective
sorria	smile
superprotetor	overprotective
televisores	television
preto	black
videocassetedvd	vcrdvd
rádios	radios
banheiros	bathroom
automóvei	cars
empregadas	employee
contratar	monthly
faxino	cleaning
satisfeito	satisfied
insatisfeito	dissatisfy
afirmações	statement
verdadeira	true
falsa	false
apóiam	support
vocês	you
brigar	fight
freqüentemente	often
união	togetherness
exister	there
criticar	criticize
ênfase	emphasis
cumprimento	rule
existe	there
discordância	disagreement
esforçar	effort
paz	peace
vencer	win
rígido	strict
tolerado	tolerate
amendrontar	frightens
àvá	go
some	add
sas	sas
secretar	secret
págino	page
raciocinar	reason
adiantadoa	advance
atrasadoa	late
subtraia	subtract
atraso	delay
habilidade	skill
atrasar	late
calculer	calculate
superar	overcome
quer	mean
fala	speech
montar	assemble
respostar	answer
completamente	completely
mama	mama
papar	papa
formar	form
biscoito	cookie
juntar	join
sentença	sentence
acenar	wave
tchau	goodbye
beijinho	kiss
shhh	shhh
ciranda	ciranda
amarelinhar	hopscotch
anel	ring
alegria	joy
conquista	achievement
interessante	interesting
deledela	other
rodar	run
rodinha	wheel
brinquedo	toy
vibração	vibration
jogos	games
mamãe	mom
inventar	up
boneca	doll
novoa	around
brutoa	rough
mandãomandonar	bossy
velha	old
cooperar	cooperate
determinado	certain
banda	band
roque	rock
obcecadoso	obsess
elesela	feel
obcecar	obsess
dinossauro	dinosaur
estilo	style
colonial	colonial
poste	pole
dominar	dominate
inicer	start
relativamente	relatively
tom	tone
variar	vary
reconhecer	recognize
elases	they
imediato	immediately
envergonhadao	embarrassed
imitar	imitate
parquinho	playground
jantar	dinner
moda	fashionable
clichês	clichés
sincero	honest
servido	serve
prato	plate
insistia	on
perturbar	upset
caminho	route
móvel	furniture
excitado	excited
focar	focus
rotino	routine
nona	ninth
algumas	sometimes
súbita	sudden
sugerir	suggest
nomediagnóstico	nodiagnosis
seqüestradoa	kidnap
diarréio	diarrhea
seqüestro	kidnapping
lembrasse	remember
generalizar	generalized
facil	easy
voltar	return
freqüente	frequent
sexualizar	sexualized
outrosentão	other
apliquem	apply
acntecer	happen
checar	check
insulina	insulin
sombrancelha	eyebrow
parem	stop
preocupaão	concern
cite	cite
natação	swimming
patim	rollerblade
skate	skateboard
bicicleta	bicycle
dedicar	dedicate
sabena	sabena
passatempo	hobby
favorito	favorite
figurinha	figurine
violão	guitar
soltar	drop
pipo	kite
corda	rope
carrinho	cart
cantar	sing
motora	motor
acanhadoa	shy
ma	ma
depressivo	depressive
agradar	please
habitualmente	usually
cotadas	quote
mc	mc
deprimidoo	depressed
cotar	quote
falou	spoke
costume	do
mesmoo	it
respostas	answer
deprimir	depressed
explorados	explore
procurar	seek
próxima	next
pensou	thought
quis	want
tentou	try
md	md
hipomaníaco	hypomaniac
cheioa	full
entrevistadoa	do
compreende	understand
ativoa	active
excitadoa	excited
motivadoa	motivated
criativoa	creative
hiperativoa	hyperactive
justificável	justifiable
ocorrem	occur
explorar	explore
descansadoa	rest
falava	talk
desejava	want
agradável	pleasant
tentadoro	tempting
dirigir	drive
imprudente	recklessly
acabamos	just
hospitalizadoa	hospitalize
leiaalguma	readhave
ansiosoa	anxious
assustadoa	scared
intensidade	intensity
provocassesem	provoke
consequência	consequence
palpitação	palpitation
úmer	sweaty
tremor	tremor
contração	twitching
sufocadoa	suffocate
nó	the
garganto	sore
sentiu	felt
aperto	tightness
náuseo	nausea
tontoa	dizzy
vertigem	vertigo
desligadoar	disconnect
dormência	numbness
ondas	flash
mf	mf
escapar	escape
fila	queue
atravessar	cross
acompanhadoo	accompany
mg	mg
incomodadoa	annoy
humilhadoa	humiliate
atrapalho	hinder
cotada	quote
mj	mj
abusodependência	abuse
alcool	alcohol
caipirinha	caipirinha
conhaque	cognac
whisky	whiskey
percebeu	realize
trem	shake
transpirar	sweat
ressaca	hangover
pretender	intend
recuperar	from
reduziu	reduce
cotidiana	daily
continuou	continue
bêbado	drunk
embriaguez	drunkenness
causou	cause
arriscar	risky
condenação	conviction
mk	mk
chapadoa	stone
prescritas	prescribed
morfina	morphine
doente	sick
física	physical
utilizada	used
estimulantes	stimulant
anorexígeno	anorectic
branquinha	white
coca	coca
merlar	merla
pedra	stone
opiáceos	opiacian
ópio	opium
tintura	tincture
elixir	elixir
paregórico	paregoric
dover	dover
belacodid	belacode
belpar	belpar
pambenyl	pambenyl
dolantina	dolantine
demerol	demerol
propoxifeno	algafan
algafan	propoxyphene
doloxene	doloxene
inoval	innovative
alucinogéneos	hallucinogens
mescalina	mescaline
pcp	pcp
êxtase	ecstasy
cogumelo	mushroom
ayhuaska	vegetable
daime	daime
hoasco	hoasca
solventes	solvent
voláteis	volatile
éter	ether
perfume	perfume
canabinóides	canabinoids
cannabis	cannabis
hasish	hash
thc	thc
bangh	bangh
ganja	ganja
diamba	devil
marijuana	marijuana
marihuano	marihuana
dienpax	dienpax
somalium	somali
frisium	frisium
psicosedin	psychosedin
halcion	hall
frontal	front
rohypnol	rohypnol
urbanil	urban
sonebon	sonebon
barbitúrico	barbiturate
anabolizantes	anabolicant
esteróide	steroid
utilizado	used
declarado	declare
emagrecersem	weight
médica	medical
consumida	consumed
investigada	only
considerando	consider
febre	fever
suor	sweating
aceleração	acceleration
consumer	consume
intoxicado	intoxicate
intoxicação	poisoning
síndrome	syndrome
psicótica	psychotic
módulo	module
peculiar	unique
perguntaremos	ask
consideradas	consider
forem	be
cultura	culture
pediremos	we
pedido	asked
diferenciado	differentiated
observe	note
definições	definition
bizarras	bizarre
bizarros	bizarre
aqueles	those
cujo	whose
absurdo	absurd
implausível	implausible
incompreensível	incomprehensive
baseado	base
habituais	usual
vozes	voice
atos	interviewee
conversam	talk
colunas	columns
conspirandotramar	plot
exterior	outside
realidade	reality
distoantesr	distant
sendo	be
pessoalmente	personally
concordar	agree
chamou	call
exista	there
chamando	call
representa	represent
ouver	hear
coisasvoz	thingsvoice
cutura	cuture
vulto	shadow
passando	pass
canto	corner
olhos	eyes
nitidez	sharpness
observação	note
julgamento	judgment
graves	serious
é	it
responde	answer
esquisito	weird
demonstra	show
respondesse	you
explica	explain
mo	anxiety
impedir	prevent
sent	feel
preocupadoar	worried
tensoo	tense
nervo	attack
flor	edge
músculo	muscle
exaustoa	exhaust
esquecimento	forgetful
mw	mw
déficit	deficit
atençãohiperatividade	attention
impaciente	impatient
vapor	steam
era	be
distraía	distract
pavio	temper
tender	tend
explosivoar	explosive
tendia	tend
primeiroa	to
reclamação	complaint
distraídoo	distract
intrometidoa	nosy
mil	minute
enraivecidoa	angry
subempregadoa	or
aquém	your
exercer	perform
função	role
êxito	success
expectativa	expectation
demitidoo	fire
suaseu	your
companheirao	partner
elae	here
trocar	change
neblina	fog
chuvisco	drizzle
foco	focus
intrusivo	intrusive
ocupar	busy
ocorrência	occur
certoerrado	wrong
balancear	balanced
incômoda	uncomfortable
soar	sound
tátil	tactile
contaminar	contaminate
obsessivo	obsessive
identificadora	identifier
falecidasem	decease
falecidosem	deceased
contatofilho	contactsingle
únicoambo	childboth
treatment	treatment
agorafobi	agoraphobia
oueufóricoa	swing
atividad	activity
socia	social
adult	adult
behavior	behavior
checklist	checklist
quantosa	how
amigoso	many
próximosas	close
próximoa	close
cinco	five
visitar	do
civil	status
viver	live
divorciadoa	divorced
viúvoa	widow
esposoa	spouse
companheiroa	partner
circule	circle
frequentement	often
responsabilidade	responsibility
satisfeitoa	satisfied
discorda	disagree
administração	management
deficiênciar	disability
esquecidoa	forgetful
discute	discusses
desenvolve	develop
usa	use
nicotina	nicotine
medicinal	medical
sobrecarregadoo	overwhelmed
honestoa	honest
autoconfiançar	confidence
estraga	spoil
soscil	fluctuate
excitação	excitement
deixa	leave
incompletar	incomplete
precipitadamente	hastily
bêbadoa	drunk
desajeitadoa	clumsy
lei	law
prioridade	priority
seguido	follow
esquentadoa	hot
passivoa	passive
iniciativa	initiative
férias	vacation
cumpre	fulfills
palhaçado	around
irresponsável	irresponsibly
desorganizadoo	disorganize
justoa	fair
senter	feel
dívida	debt
cumprir	comply
obrigação	obligation
administrar	manage
crédito	credit
inclusive	include
presta	pay
nicotino	nicotine
dirige	drive
tende	tend
compromisso	commitment
conexão	connection
gravador	recorder
áudio	audio
tablet	tablet
mapa	map
centros	center
impressa	copy
abcl	abcl
internet	internet
estranhos	strange
fases	phase
santa	santa
misericórdia	misericórdia
radiologia	radiology
inrad	inrad
cpc	cpc
eventualmente	eventually
proesq	proesq
caae	caae
participantes	participant
adultos	adult
registrar	register
adolescentes	adolescents
hcpa	hcpa
constranger	embarrassed
abordar	address
prestação	provision
auxilio	assistance
busca	search
decorrência	result
rubrica	rubric
mr	mr
discriminação	discrimination
estigmatização	stigmatization
individual	individual
coletivo	collective
acessar	access
envio	send
ressarcimento	reimbursement
previsto	foresee
ressarcir	reimburse
dispender	spend
cobrir	cover
intercorrência	incident
resultante	result
decidar	decide
autorizar	authorize
acarretar	result
impossibilidade	impossibility
implicar	imply
devolução	return
júnior	júnior
ufrgs	ufrgs
usp	usp
abrahão	abrahão
sexta	friday
comitês	committees
interdisciplinar	interdisciplinary
constituír	make
comunidade	community
ético	ethical
proteger	protect
dignidade	dignity
sepn	sepn
norte	north
edifício	building
ii	ii
ministério	ministry
brasília	brasília
df	df
conepsaudegovbr	conepsaudegovbr
eletronicamente	electronically
via	copy
original	original
rubricar	initial
mailtoconepsaudegovbr	mailtoconepsaudegovbr
correio	mail
paimãe	dadmother
autorizo	authorize
gravação	recording
prepare	ready
manifestar	manifest
iniciada	started
garantir	guarantee
critérios	criteria
namorado	boyfriend
namorada	girlfriend
esposo	husband
esposa	wife
pública	public
privado	private
curso	course
técnico	technical
qualificação	qualification
tecnólogo	technologist
estudando	study
condenar	convict
justiça	justice
crime	crime
homicídio	homicide
latrocínio	robbery
lesão	injury
furto	theft
tráfico	trafficking
porte	illegal
ilegal	possession
pena	penalty
bpc	bpc
inserido	in
ê	and
nt	not
serviços	service
csv	csv
sva	sva
terapêutica	therapeutic
socioeducativo	educational
febem	febem
codifique	code
mêsano	monthyear
suplemento	supplement
internadoo	hospitalize
internado	hospitalize
recente	recent
cidadeestar	city
quanet	how
citado	mentioned
alternativas	alternatives
registre	record
afirmativas	affirmative
juiz	judge
conselhor	council
padre	pastor
pastor	pastor
líder	leader
aconselhamento	counseling
participou	participate
coordenar	coordinate
testir	test
treinamento	training
estressar	stress
aluguel	rent
roupar	clothing
moradia	housing
salte	jump
terapêutico	therapeutic
psicologo	psychologist
enfermeiro	nurse
completar	complete
negativo	negative
tratadoa	treat
injustamente	unfairly
terapeutaa	therapist
deslocar	place
convênio	plan
trinta	thirty
funcionário	staff
finalize	finish
empresa	company
mensalidade	fee
públicoplano	plan
bolso	pocket
reembolsar	reimburse
sus	sus
leito	bed
serviçocom	with
cratod	cratod
alcóol	alcohol
havia	there
estrer	stress
caps	caps
jovemainda	youth
internadoa	intern
ambulatorial	ambulatory
atendir	attend
participour	participate
confirmar	confirm
ambulatório	clinic
atendidoar	see
metal	metal
criançã	child
conselheiro	counselor
marido	husband
companheiroesposir	partnerwife
demorar	take
pedriatra	ambulatory
companheiroesposar	partner
maridoesposa	husbandwife
companheiroar	partner
assistido	assist
jovemfoi	be
curandeiro	healer
pajé	shaman
benzedeira	healer
acupunturista	acupuncturist
quiropraxista	chiropractor
quiropraxistar	chiropractor
valorização	appreciation
cvv	cvv
mêsanor	monthyear
autoajuda	help
anônimo	anonymous
narcótico	narcotics
matricular	enrol
aluno	student
esccola	school
jovens	youth
jovems	many
citada	mentioned
auxiliar	aide
acompanhante	companion
profissionalse	professionalse
codificou	coded
codificaram	coded
tratar	treat
procurou	searched
recodifique	encode
relacionados	relate
utilizados	use
cujos	whose
códigos	codes
terminam	end
seus	your
enfermeirar	nurse
diretor	or
administrador	of
promotor	prosecutor
items	items
utilizou	use
relacione	all
sv	sv
admite	admit
jovemnome	young
cssri	cssri
igreja	church
templo	temple
caro	expensive
tiradoa	take
recomendar	recommend
confiar	trust
palpite	guess
demoraria	take
gasto	spending
conserto	repair
adaptação	adaptation
medicamentos	medicines
educaçãoescola	educationspecial
cuidados	care
coesão	cohesion
característica	characteristic
querar	want
atitude	attitude
cs	cs
pichar	spray
muro	wall
essencial	essential
gerador	generator
recursos	resource
recurso	feature
citar	name
gra	gra
farar	will
carreira	career
advogar	lawyer
nuclear	nuclear
irmãos	brother
irmãs	sisters
ampliar	extended
familia	family
ampliada	grandmother
tios	extended
chefepatrão	bossboss
norma	regulation
grb	grb
política	politic
intencional	intentionally
ribs	ribs
vivência	live
vivemor	live
escolha	choose
ri	ri
discordo	disagree
ameaçarer	threaten
domicilio	home
empregados	employees
domésticos	domestic
microcomputador	microcomputer
motocicleta	motorcycle
secadora	dryer
lava	washer
puler	skip
vínculo	bond
laço	tie
adulta	of
companheiroscompanheiras	companion
jovemtem	jovem
ccom	with
sequestradoo	kidnap
aproximado	approximate
hobbies	hobbies
separaçaõ	separation
clique	click
formulário	form
fale	talk
suger	suggest
filha	daughter
importir	too
gramática	grammar
ilimitar	unlimited
visível	visible
automaticamente	automatically
agarrar	then
jardim	kindergarten
incluído	include
jovemda	youth
encontro	meet
faculdadeescola	college
di	this
continuese	continue
descritas	describe
relembrou	recalled
bloqueou	block
incluída	include
apetitar	appetite
temperamento	temper
nuncae	never
raivar	anger
odeio	hate
estúpido	stupid
morder	bite
escolafaculdade	schoolcollege
acompanhado	accompany
reconhecível	recognizable
comparado	compare
consideramos	consider
irritação	irritation
aproximar	approximate
criar	create
rápidasmudando	change
rápidas	quick
quieta	still
ocupado	busy
aborrecerar	bother
jovemé	be
pareceu	appear
malvadoo	mean
combinar	agree
telefonar	call
saiu	left
explosivo	explosively
inteirar	whole
danificar	damage
pertencer	belong
riscar	scratch
dieta	binge
alimentar	eating
centímetro	centimeter
cento	hundred
cinqüentar	fifty
incerto	uncertain
quilograma	kilogram
cinqüenta	fifty
nove	nine
corretar	correct
hcommuito	hmvery
dificultassem	difficult
comido	food
sigaentrevistador	followinterviewer
agudo	high
quante	how
focalizar	focus
concordir	agree
nicotinar	nicotine
eletrônicos	electronic
lanhousar	lanhouse
icms	icms
loucoa	the
ouvia	hear
caladoo	in
acentuação	word
debaixo	bottom
interrompa	interrupt
ouvido	do
sequenciais	sequential
perceba	perceive
haja	signs
constrangimento	do
eventuais	any
pronúncias	pronunciation
desistências	early
precipitadas	cancellation
tente	try
incentivar	encourage
regras	rule
aceitas	accept
variantes	variant
sotaque	accent
dicção	diction
nordeste	northeast
palatização	palatization
consoantes	consonant
abertura	opening
vogais	vowels
janeiro	janeiro
palatal	palatal
aspirado	aspirate
minas	minas
encurtadas	shortened
regiões	region
país	country
munícipi	municipal
léxicu	lexicu
autocorreção	correction
ultima	last
pronúncia	pronunciation
autocorreções	autocorrection
frequentes	frequent
café	coffee
político	policy
táxi	taxi
pôster	poster
dossiê	dossier
canapé	canapé
aprazível	pleasant
igarapér	creek
dócil	docile
convés	deck
mártir	martyr
cântaro	pitcher
eloquência	eloquence
qü	that
síncoper	syncope
munícipe	citizen
lúgubre	dismal
léxico	lexicon
amálgama	amalgam
melífluo	mellifluous
lânguido	languid
uníssono	unison
atávico	atavistic
marzipã	marzipan
antiquíssimo	old
oboé	oboe
exegético	exegetical
antítese	antithesis
córtex	cortex
aquífero	aquifer
látex	latex
arquétipo	archetype
exequível	feasible
zqü	zq
hálux	hallux
multipla	multiple
frequenta	go
encerrar	close
aplicador	applicator
psicoprofissional	psicoprofessional
psicoid	psychoid
materiais	materials
estímulos	pen
canetas	graphite
grafite	make
apontador	scorer
ocorrêcia	incident
relatar	report
silencioso	silence
ordemrepetição	repeat
maria	maria
guimarães	guimarães
bueno	bueno
psicólogoa	psychologist
convidadoa	invite
inicar	start
poderíar	could
primeiramente	first
cansaço	tiredness
picada	prick
participarem	participate
espécie	kind
fotografia	photography
informamos	inform
desistir	withdraw
participanterepresentante	participantlegal
dormer	sleep
ontem	yesterday
segter	segter
passada	last
dessa	this
comeu	eat
chocolate	chocolate
balas	bullet
chicletes	soft
refrigerantes	drink
apresentando	present
componente	component
trêmulo	shaky
sentinder	feel
vôlei	volleyball
caminhada	walk
corrida	run
aguda	acute
infecção	infection
respiratória	respiratory
diarréia	diarrhea
influencie	influence
agressividade	aggression
apavorado	terrified
rey	rey
copiar	copy
caprichado	neat
horizontal	horizontal
gire	turn
acionar	activate
cronometro	stopwatch
sequência	sequence
posterior	bqss
bqss	bqss
execução	execution
complexa	complex
modelo	model
bqssc	bqssc
macroestrutura	macrostructure
retângulo	rectangle
vertical	vertical
desenhar	draw
agrupamento	grouping
triângulo	triangle
citadaso	quotedthe
sistemático	of
bqssri	bqssri
imediata	immediate
macroestruturas	macrostructure
bqssrt	qssrt
tardia	late
sistema	system
savage	savage
temr	be
princípio	principle
planejamento	planning
desenhou	draw
descrita	describe
fragmentada	a
pontuar	score
feito	do
partes	parts
chegou	even
referida	that
savac	savac
fragmentar	fragmented
ausente	absent
diagonais	diagonals
vértice	vertex
savari	savari
rec	rec
savart	savart
rel	rel
separadamente	separately
avalie	assess
precisão	precision
tamanhoformar	sizeshape
localizar	locate
preciso	need
impreciso	imprecise
irreconhecível	unrecognizable
elementos	element
esquerdo	leave
diagonal	diagonal
á	á
segmento	segment
reta	straight
paralelo	parallel
circulo	circle
paralela	parallel
lados	side
externo	external
losango	rhombus
central	center
reyt	reyt
reytc	reytc
seg	mon
reyti	reyti
reytt	reytt
mostrarar	show
vire	turn
faces	face
oturo	other
construa	build
lentalmente	slowly
usando	use
misture	mix
usados	use
demonstração	demo
cronometrados	timed
extrapolar	on
deverá	must
intacto	intact
montagem	assembly
utilizando	use
serão	will
pontuados	score
padronizada	standardized
quais	what
voltadas	facing
rotação	rotation
graus	degrees
esta	this
consecutivos	consecutive
modelos	models
exec	exec
constróir	build
tb	tb
tentativar	attempt
figurar	figure
máx	max
pts	pt
vocabulário	vocabulary
significar	mean
responta	zero
chapéu	hat
sol	sun
inquérito	survey
realizado	carry
consultar	consult
dicionário	synonym
conceitos	concepts
genéricos	generic
sinônimos	important
características	characteristics
concretos	concrete
indicam	indicate
conhece	know
significa	mean
apropriadamente	properly
vagas	vague
fazem	make
definem	define
demonstram	demonstrate
pobre	poor
dada	give
escutar	hear
absolver	absorbing
absorver	absolute
contudo	however
â	the
burro	donkey
vaca	cow
valente	brave
alfabeto	alphabet
transparente	transparent
ilha	island
fábula	fable
migrar	migrate
rivalidade	rivalry
aflição	affliction
retificação	rectification
unânime	unanimous
aberração	aberration
vangloriar	boast
árduo	hard
iminente	imminent
compelir	compel
dilatório	delay
indica	indicates
auxílio	help
alterações	change
psicóticas	explore
antecedidas	above
poderiam	could
sombra	shadow
passe	delirium
imaginação	imagination
acordado	awake
poderia	could
acontece	happen
batidinha	tap
visãoimagem	vision
kalupre	kalupre
limiar	threshold
suspeito	suspicious
kalupas	kalupas
imaginar	imagine
pregar	a
susto	scare
quê	what
delirio	delusion
famoso	famous
houvesse	be
estragar	spoil
kdelpre	kdelpre
kdelpas	kdelpas
fazerinterrupção	dointerruption
luria	luria
farei	do
examinando	examiner
ciclos	cycles
treino	training
ciclo	cycle
realizando	carry
corrige	fix
incentivo	incentive
verbal	verbal
avaliando	evaluated
formato	format
aperfeiçoar	perfect
cronometre	time
opor	oppose
polegar	thumb
ozeretski	ozeretski
palmas	palms
estendidas	extend
ludp	ludp
simultâneo	simultaneous
indicador	finger
anelar	ring
luo	luo
alternar	alternate
fecha	close
lupe	lupe
estendir	outstretche
palma	palm
virar	face
versa	back
qualitativa	qualitative
fluente	fluent
adequados	adequate
postura	posture
simetria	symmetry
simetr	symmetry
mantêm	maintain
acompanha	follow
bender	bender
desenhado	draw
régua	ruler
lâmina	blade
mudada	change
concluído	complete
sirva	serve
suporte	support
mecânico	ruler
atribuída	give
desenhos	drawing
ilustrativo	illustrative
figuras	figures
bda	bda
configuração	configuration
traçar	trace
ângulo	angle
achatamento	flattening
exestrela	ex
fig	fig
vazado	empty
substituír	replace
traço	dash
fileira	row
inclinação	slope
extremidade	end
regularidade	regularity
eler	element
vazar	hollow
inclinado	angle
distancia	distance
nítir	clear
deformação	deformation
acréscimo	addition
curva	curve
comprimento	length
avesso	reverse
ausência	absence
crescendum	crescendum
disperso	scatter
assimetria	asymmetry
curvilíneo	curvilinear
alturar	height
câmpula	cup
deformar	deform
achatar	flatten
acinturar	s
largar	wide
semicírculo	semicircle
ondulação	undulation
característico	characteristic
homogêneo	homogeneous
traçado	trace
nitidamente	clearly
pedaço	piece
espiral	spiral
hexágono	hexagon
caracterizado	characterize
pontas	tip
próximos	close
quadrados	square
esgotar	finishes
válir	valid
perseveração	perseveration
violações	violations
curvo	curved
lateralidade	laterality
preferência	preference
arremessar	throw
bola	ball
segurar	hold
raquete	racket
tênis	tennis
fósforar	match
tesoura	scissors
distribui	distribute
martelar	hammer
prego	nail
desatarraxar	unscrew
buraco	keyhole
canhota	hand
canhoto	hand
pertubam	bother
assustar	scared
gad	gad
sep	sep
anx	anx
soc	soc
panic	panic
transposição	transposition
fosse	fose
facilitador	facilitator
parêntesis	parenthesis
prazo	deadline
envergonhado	embarrassed
meninasperto	girlsclose
temasliçãodever	themeslessonduty
divertido	fun
telefonemaligação	phonecall
chance	chance
descer	rapidly
morro	hill
ar	ride
matériadisciplina	discipline
termino	finish
mergulhar	dive
mar	sea
segredo	secret
tímido	shy
garoto	have
empurr	push
atir	throw
chão	floor
escalar	climb
montanha	mountain
deixo	leave
praça	square
presto	pay
ensinar	teach
desapontadochatear	disappoint
interrompem	interrupt
aquilo	what
planejeir	plan
eqconfanote	eqconfanote
compreendeu	understand
perguntados	questioned
poucos	few
alguns	some
condicionais	conditional
meigo	sweet
carinhoso	caring
sorrir	smile
éera	overprotective
cresçacrescesse	grow
qi	iq
pcheck	pcheck
youth	youth
strengths	strengths
inventory	inventory
mfq	mfq
divertir	fun
agitadoo	agitated
valer	be
chor	cry
odiei	hate
amar	love
entrarer	we
motivação	motivation
sopa	be
variável	variable
genoma	genome
genética	genetic
epigenético	epigenetic
transformar	into
molécula	molecule
transcriptomar	transcriptome
expliquir	explain
misericórida	misericórida
prévio	prior
deitado	lie
desconfortos	discomforts
prejudicial	harmful
laboratório	laboratory
neurociências	neurosciences
dependência	premise
genômica	genomics
aplicada	applied
filadélfia	philadelphia
estados	united
unidos	states
parceria	partnership
internacional	international
bioquímico	biochemical
expandir	expand
justificativa	justification
pós	postgraduate
graduação	the
conepos	material
futuramente	future
ônus	burden
guarda	keep
banco	bank
destruição	destruction
encerramento	closure
armazenado	store
revelar	reveal
especialista	specialist
intercorrênciar	intercurrence
garantido	guarantee
indenização	compensation
conti	conti
nue	nue
abaix	below
clínicar	clinic
assistida	assist
anônimos	anonymous
sab	know
emocionalacima	sub
oupar	come
deledelo	he
pânicoagorafobia	panicagoraphobia
marcadas	marked
imprevisíveis	unpredictable
tev	be
filhofilha	sondaughter
irmãosirmã	sister
brinc	play
ciências	science
descrevir	describe
desorientadoao	disorient
child	child
balança	scale
métrica	measure
assentimento	two
gppg	gppg
oficial	official
garantirmos	the
divulgar	publicize
doer	painful
obrigar	make
satisfação	satisfaction
afetiva	affective
fortemente	strongly
sábado	saturday
domingo	sunday
escolher	choose
tópico	topic
chateadoa	upset
acusadoa	accuse
nã	at
especifico	specific
verd	green
adeir	adhere
extremame	extreme
nte	nt
contrassenso	annoy
sozinhar	alone
extrem	extreme
descrito	describe
exvir	experience
pouc	little
muit	very
flashback	flashback
passou	start
priogoso	pious
aborrecida	upset
extremament	extremely
extremamen	extremely
nad	nothing
futebolgostaríamos	footballwe
eletricidade	electricity
aborrece	annoy
hdepressã	hdepression
tensa	tense
interfere	interfere
famíliar	family
suicidio	suicide
ocasionalmen	occasionally
ocasionalment	occasionally
estúpir	stupid
las	those
katenção	kattention
hiperativad	hyperactivate
propensoo	likely
paradoo	stilla
expansivoar	outgoing
distraídoa	distract
mandãoona	bossy
hiperativade	hyperactivity
causer	cause
lojo	store
envolvidoa	involve
colocaou	put
cinquenta	fifty
palpitar	guess
gorda	fat
apavor	terrify
esconder	hide
diabético	diabetic
orgulhoso	proud
gênio	genius
senso	sense
boma	boma
caridade	charity
preencho	in
deverão	be
escritas	must
investigaram	investigate
estranheza	feeling
inclui	it
individuo	individual
noticías	news
impressao	imprint
ha	there
experienciar	experience
nao	not
preocupac	worry
sensacao	feeling
relac	relation
piora	worsening
ideias	ideas
indíviduo	can
persecutório	persecutory
ciúme	jealousy
patológico	pathological
ideiar	idea
bizarrar	bizarre
sutis	subtle
aumentado	augmented
paranoia	paranoia
idiossincrática	idiosyncratic
descartar	discard
pairar	hang
delirante	delusional
comportamentai	behave
próxim	next
incomod	bother
sensopercepção	perception
alucinatório	hallucinatory
itar	item
perceptiva	perceptive
exacerbada	exacerbate
luzessombra	lightsshadow
hipnopômpica	hypnopompic
despersonaliz	depersonalize
transitória	transient
vivenciado	experience
fenômeno	phenomenon
subjetivo	subjective
irrelevante	irrelevant
rumo	conversation
silêncio	silent
desorganiz	disorganized
ado	ado
circunstanc	circumstance
ialidade	ity
irrelevânci	irrelevance
circunstanciali	circumstantial
dade	ity
tangencialidad	tangency
perceptível	noticeable
ente	entity
desorganizado	unorganized
vi	vi
negativos	negative
embotamen	bluntage
observado	observe
distanciament	distancing
espontânear	spontaneous
autolesivo	injurious
cortou	cut
pulso	wrist
fósforo	match
corte	cut
cravou	sharp
pontur	object
bateu	hit
machucado	bruise
soco	punch
feridas	wound
cicatrizar	heal
hospitalização	hospitalization
dshia	dshia
alerte	alert
sei	know
dshib	dshib
traumáticas	traumatic
batente	jamming
puxar	pull
assustado	scared
xingando	curse
espalhar	spread
boato	rumor
negrito	bold
apresentados	presented
angustiado	distressed
cyberbullying	cyberbullying
foto	picture
onlinar	online
positivos	positive
salter	salter
conversamo	about
origem	origin
cbemseção	cbemsection
otimista	optimistic
traquiloa	calm
clareza	clearly
medidas	measures
antropométricas	anthropometric
media	measurement
mensuração	measurement
circunferência	circumference
abdominal	abdominal
centrada	center
umbigo	navel
sete	seven
descansar	rest
caminhar	walk
exercitar	exercise
semano	do
calcula	calculate
sai	out
ditar	dictate
dez	ten
rescindido	terminate
hipócrita	hypocritical
perseverança	perseverance
marsupiais	marsupial
acabrunhado	overwhelmed
excepcional	exceptional
ricochetear	ricochet
saguões	lobby
contínuo	the
abreviatura	abbreviation
estimulo	stimulus
paro	to
seguintes	following
passos	steps
inserida	insert
localizada	locate
crie	folder
nomeada	name
salve	save
arquivos	file
gerados	generate
testagens	test
cognitivas	cognitive
pastas	folder
estas	these
localizadas	locate
mostra	show
idealmente	asks
pede	will
beatsglobal	beatsglobal
pagina	page
wwwfacebookcombeatsglobal	wwwfacebookcombeatsglobal
loginnome	login
usuário	user
